order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,754,Thomas Schultz,214,Data,Stationery,UPI,4,227.09,2024-04-18 22:08,India,Kolkata,www.amazon.com,f03b1dca,N,Invalid CVV.
2,132,Matthew Lawson,203,Language,Stationery,Internet Banking,4,507.83,2023-09-19 13:10,India,Kolkata,www.flipkart.com,1fa817d5,N,Invalid CVV.
3,325,Dana Acevedo,257,Probably,Toys,UPI,1,760.01,2023-09-16 11:40,USA,Houston,www.ebay.in,d156f089,N,Invalid CVV.
4,259,Mario Anthony,227,Structure,Books,Card,2,383.03,2024-01-05 01:26,UK,Birmingham,www.snapdeal.com,2b323371,N,Invalid CVV.
5,926,Dr. Justin Cruz,205,Sit,Clothing,Card,7,83.41,2024-06-03 23:03,UK,Oxford,www.ebay.in,01faa5bc,Y,
6,821,Christopher Cooper,208,Hold,Stationery,Internet Banking,5,985.3,2024-01-22 17:36,USA,New York,www.tatacliq.com,aa63ebd4,N,Invalid CVV.
7,564,Nicholas Fuller,281,Situation,Books,Internet Banking,6,358.49,2024-05-31 21:11,UK,London,www.snapdeal.com,8e78b440,Y,
8,646,Stephanie Williams,293,Gas,Electronics,Internet Banking,8,382.56,2024-07-10 21:43,USA,Chicago,www.amazon.com,f573af75,Y,
9,941,Eduardo Steele,204,Keep,Books,Wallet,5,70.86,2023-09-11 06:11,UK,Manchester,www.tatacliq.com,be21123c,N,Invalid CVV.
10,758,Charles Johnson,258,Create,Electronics,UPI,3,250.39,2024-01-19 04:38,UK,Oxford,www.tatacliq.com,4c33a267,N,Invalid CVV.
11,470,Morgan Stewart,228,Laugh,Electronics,Wallet,2,757.0,2024-03-05 22:41,India,Delhi,www.flipkart.com,a8a81179,N,Invalid CVV.
12,710,Sheila Fuller,208,Explain,Clothing,Wallet,10,996.14,2024-01-10 01:11,UK,Oxford,www.amazon.com,28edefd2,Y,
13,798,Pamela Smith,268,Cost,Books,UPI,2,297.03,2023-11-30 00:13,USA,Houston,www.amazon.com,ab2078aa,N,Invalid CVV.
14,612,Shannon Williams,297,Rather,Electronics,Card,5,842.46,2023-09-25 09:35,USA,Los Angeles,www.ebay.in,213d2c57,Y,
15,652,Crystal Garrett,299,Room,Toys,Card,10,327.54,2024-06-23 02:55,India,Mumbai,www.ebay.in,fde38c73,N,Invalid CVV.
16,345,Lance Cook,207,Town,Electronics,Card,2,733.25,2023-10-17 21:08,India,Kolkata,www.flipkart.com,6618550f,Y,
17,775,Mary Gross,260,Head,Toys,Internet Banking,5,530.04,2024-05-30 23:01,Germany,Munich,www.snapdeal.com,01007cf7,Y,
18,830,Heather Villa,239,Vote,Clothing,UPI,8,900.12,2024-06-14 17:03,Germany,Berlin,www.flipkart.com,c907ae67,Y,
19,165,Debra Adams,243,Level,Stationery,Internet Banking,10,224.12,2024-06-16 07:13,India,Mumbai,www.flipkart.com,b36cfb98,Y,
20,132,Stacy Coleman,242,These,Stationery,Internet Banking,5,670.63,2024-07-29 16:17,USA,Boston,www.flipkart.com,b3b3e38c,N,Invalid CVV.
21,348,Eric Carter,260,Enjoy,Clothing,Internet Banking,2,101.45,2023-12-11 10:08,Germany,Frankfurt,www.tatacliq.com,f2efdfe1,N,Invalid CVV.
22,578,Jonathan Reid,293,Rise,Stationery,Card,1,405.61,2024-07-17 08:31,UK,London,www.flipkart.com,dc9510ae,Y,
23,294,Henry Holt,268,Toward,Clothing,Internet Banking,7,187.57,2024-05-14 11:14,Germany,Munich,www.amazon.com,3d84b014,N,Invalid CVV.
24,927,Kayla Monroe,270,Stuff,Stationery,Card,9,836.85,2023-11-13 05:42,India,Delhi,www.flipkart.com,f8c200bd,N,Invalid CVV.
25,597,Zachary Lowe,261,Guess,Electronics,Wallet,1,168.81,2024-05-25 11:18,India,Chennai,www.ebay.in,3e1d186b,N,Invalid CVV.
26,392,Melanie Singh,254,Expert,Toys,Wallet,3,193.95,2024-06-17 21:25,USA,New York,www.snapdeal.com,87065ada,Y,
27,865,Taylor Bartlett,240,Not,Stationery,Card,10,479.4,2023-10-05 04:19,USA,New York,www.snapdeal.com,b2d0ef35,Y,
28,971,Brenda Reed,223,Future,Stationery,Card,4,406.76,2023-11-02 13:00,USA,Boston,www.snapdeal.com,dae3e259,Y,
29,734,Amanda Mejia,210,Exactly,Clothing,UPI,5,208.24,2024-07-30 20:03,UK,Manchester,www.ebay.in,06578ed2,N,Invalid CVV.
30,234,Courtney Mills,285,Any,Books,Wallet,6,929.37,2024-02-08 03:18,India,Mumbai,www.tatacliq.com,183c566b,Y,
31,175,Erik Johnson,268,Test,Electronics,UPI,3,933.59,2023-12-03 17:11,India,Delhi,www.ebay.in,688c0206,N,Invalid CVV.
